Id,Name,created_at,Νεα Δημοκρατια,Συριζα,Κιναλ,ΚΚΕ,prob
23971,geor***,2016,+,---,-,+,0.12
18074,Vlac***,2012,---,--,--,--,0.09
22980,papa***,2022,--,--,-,---,0.42
22981,55HQ***,2021,---,-,--,--,0.29
5571,acti***,2013,++,--,=,+,0.09
18082,niko***,2012,---,-,---,-,0.08
1297,ayan***,2010,--,--,-,--,0.43
3233,CHRI***,2011,---,--,---,=,0.06
5352,Mark***,2013,--,--,-,=,0.15
3572,cuyu***,2012,--,--,-,=,0.20
5473,REDM***,2013,---,--,-,--,0.34
394,pano***,2009,--,---,-,-,0.17
5448,GEOR***,2013,++,--,---,-,0.13
131,Than***,2008,+++,+,=,+,0.07
18088,ethn***,2016,---,--,--,---,0.16
6405,coop***,2014,-,---,=,---,0.36
6342,mnim***,2014,--,-,--,=,0.36
2225,sirm***,2011,--,---,-,-,0.07
1214,Free***,2010,++,--,+++,-,0.35
18089,Neos***,2010,+++,-,=,=,0.05
24587,taso***,2019,---,--,-,--,0.20
24588,prov***,2020,+,--,-,-,0.60
24594,Meli***,2020,---,++,=,-,0.52
13898,zeve***,2021,--,--,=,-,0.31
17697,kost***,2016,---,=,=,=,0.12
17696,m1ch***,2021,=,---,-,--,0.20
6898,desp***,2015,---,--,+,--,0.38
17704,Wool***,2017,=,=,+++,=,0.45
15061,Mpam***,2021,---,-,--,-,0.14
18100,mano***,2011,---,--,=,--,0.03
5257,Kosm***,2013,---,-,=,-,0.14
6525,h******,2014,++,--,=,++,0.36
7266,Neme***,2015,+,---,+,-,0.30
5668,prin***,2013,++,---,-,--,0.12
5002,P******,2013,-,---,-,-,0.26
14213,Xole***,2021,---,=,-,+,0.47
14393,x******,2021,=,---,=,-,0.28
17453,thal***,2022,-,---,-,--,0.80
14426,Kost***,2021,--,---,--,--,0.37
20421,Geor***,2022,-,-,---,-,0.59
13027,MrAn***,2020,--,--,-,-,0.39
13121,Efta***,2021,+,--,=,+,0.24
13316,Swee***,2021,--,-,-,---,0.56
13337,Sono***,2021,+++,--,-,--,0.51
